"hed__Contact__r.csuoee__Noncredit_ID__c","hed__Course_Offering__r.lms_hed__LMS_Reference_Code__c","hed__Grade__c","csuoee__PE_Enrollment_Reference__c","hed__Status__c","hed__Verification_Status__c","hed__Verification_Status_Date__c"
"learn.colostate.edu.1124829","","","2024SP-AGBB-2015-200-1124829","Current","Verified","2024-04-16"
"learn.colostate.edu.1124924","","","2024SP-HSBB-2501-200-1124924","Current","Verified","2024-04-17"
"learn.colostate.edu.1124924","","","2024SP-HSBB-2503-200-1124924","Current","Verified","2024-04-17"
"learn.colostate.edu.1124924","","","2024SP-HSBB-2502-200-1124924","Current","Verified","2024-04-17"
"learn.colostate.edu.1124952","","","2024SP-GSLL-3001-200-1124952","Current","Verified","2024-04-17"
"learn.colostate.edu.1124960","","","2024SP-HSLL-1064-200-1124960","Current","Verified","2024-04-17"
"learn.colostate.edu.1124967","","","2024SP-HSLL-1064-200-1124967","Current","Verified","2024-04-17"
"learn.colostate.edu.1125004","","","2024SP-AGLL-1021-200-1125004","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2042-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2050-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2020-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2041-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2034-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2032-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2081-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2090-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2083-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2031-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2082-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2060-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2070-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2033-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2010-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125007","","","2024SP-AGBB-2043-200-1125007","Current","Verified","2024-04-18"
"learn.colostate.edu.1125025","","","2024SP-EDLL-2005-200-1125025","Current","Verified","2024-04-18"
"learn.colostate.edu.1134490","2024SM-HSBB-2503-200","","2024SM-HSBB-2503-200-1134490","Current","Verified","2024-11-06"
"learn.colostate.edu.1134490","2024SM-HSBB-2502-200","","2024SM-HSBB-2502-200-1134490","Current","Verified","2024-11-06"
"learn.colostate.edu.1134490","2024SM-HSBB-2504-200","","2024SM-HSBB-2504-200-1134490","Current","Verified","2024-11-06"
"learn.colostate.edu.1134490","2024SM-HSBB-2501-200","","2024SM-HSBB-2501-200-1134490","Current","Verified","2024-11-06"
"learn.colostate.edu.1134490","2024SM-HSBB-2505-200","","2024SM-HSBB-2505-200-1134490","Current","Verified","2024-11-06"
